"fecha","pm25","pm10","ozono","nox"
"2016-01-01 00:00:00",34.0,47.0,6.45,0
"2016-01-01 00:00:00",28.0,47.0,18.0,0
"2016-01-01 01:00:00",68.0,97.0,6.88,0
"2016-01-01 01:00:00",28.0,53.0,19.0,0
"2016-01-01 02:00:00",61.0,84.0,5.94,0
"2016-01-01 02:00:00",40.0,70.0,11.0,0
"2016-01-01 03:00:00",54.0,69.0,4.99,0
"2016-01-01 03:00:00",50.0,77.0,8.0,0
"2016-01-01 04:00:00",56.0,78.0,3.24,0
"2016-01-01 04:00:00",38.0,55.0,8.0,0
"2016-01-01 05:00:00",52.0,61.0,1.94,0
"2016-01-01 05:00:00",28.0,61.0,5.0,0
"2016-01-01 06:00:00",39.0,52.0,2.24,0
"2016-01-01 06:00:00",30.0,51.0,4.0,0
"2016-01-01 07:00:00",47.0,61.0,1.06,0
"2016-01-01 07:00:00",32.0,54.0,4.0,0
"2016-01-01 08:00:00",36.0,54.0,4.63,0
"2016-01-01 08:00:00",45.0,65.0,9.0,0
"2016-01-01 09:00:00",26.0,47.0,12.53,0
"2016-01-01 09:00:00",41.0,74.0,17.0,0
"2016-01-01 10:00:00",26.0,32.0,20.32,0
"2016-01-01 10:00:00",29.0,49.0,25.0,0
"2016-01-01 11:00:00",26.0,32.0,27.17,0
"2016-01-01 11:00:00",19.0,32.0,34.0,0
"2016-01-01 12:00:00",12.0,30.0,31.0,0
"2016-01-01 12:00:00",19.0,29.0,48.0,0
"2016-01-01 13:00:00",13.0,25.0,26.75,0
"2016-01-01 13:00:00",24.0,39.0,60.0,0
"2016-01-01 14:00:00",18.0,27.0,23.96,0
"2016-01-01 14:00:00",28.0,44.0,37.0,0
"2016-01-01 15:00:00",24.0,27.0,25.87,0
"2016-01-01 15:00:00",29.0,56.0,36.0,0
"2016-01-01 16:00:00",18.0,31.0,31.24,0
"2016-01-01 16:00:00",19.0,39.0,43.0,0
"2016-01-01 17:00:00",24.0,25.0,30.65,0
"2016-01-01 17:00:00",17.0,34.0,25.0,0
"2016-01-01 18:00:00",20.0,39.0,21.33,0
"2016-01-01 18:00:00",18.0,36.0,19.0,0
"2016-01-01 19:00:00",21.0,25.0,8.11,0
"2016-01-01 19:00:00",18.0,18.0,12.0,0
"2016-01-01 20:00:00",21.0,37.0,6.5,0
"2016-01-01 20:00:00",21.0,23.0,3.0,0
"2016-01-01 21:00:00",23.0,38.0,0.9,0
"2016-01-01 22:00:00",24.0,40.0,0.71,0
"2016-01-01 22:00:00",20.0,27.0,2.0,0
"2016-01-01 23:00:00",29.0,44.0,0.47,0
"2016-01-01 23:00:00",15.0,33.0,1.0,0
"2016-01-02 00:00:00",28.0,37.0,0.45,0
"2016-01-02 00:00:00",17.0,22.0,2.0,0
"2016-01-02 01:00:00",22.0,46.0,0.45,0
"2016-01-02 01:00:00",12.0,21.0,3.0,0
"2016-01-02 02:00:00",24.0,36.0,0.63,0
"2016-01-02 02:00:00",13.0,21.0,3.0,0
"2016-01-02 03:00:00",19.0,42.0,0.43,0
"2016-01-02 03:00:00",12.0,33.0,2.0,0
"2016-01-02 04:00:00",24.0,44.0,0.44,0
"2016-01-02 04:00:00",16.0,23.0,3.0,0
"2016-01-02 05:00:00",24.0,49.0,0.46,0
"2016-01-02 05:00:00",7.0,22.0,2.0,0
"2016-01-02 06:00:00",36.0,53.0,0.54,0
"2016-01-02 06:00:00",23.0,49.0,1.0,0
"2016-01-02 07:00:00",45.0,72.0,0.84,0
"2016-01-02 07:00:00",19.0,32.0,1.0,0
"2016-01-02 08:00:00",40.0,67.0,1.26,0
"2016-01-02 08:00:00",31.0,54.0,2.0,0
"2016-01-02 09:00:00",40.0,55.0,5.5,0
"2016-01-02 09:00:00",28.0,61.0,5.0,0
"2016-01-02 10:00:00",27.0,58.0,11.56,0
"2016-01-02 10:00:00",34.0,63.0,15.0,0
"2016-01-02 11:00:00",29.0,46.0,13.99,0
"2016-01-02 11:00:00",29.0,37.0,26.0,0
"2016-01-02 12:00:00",26.0,48.0,9.09,0
"2016-01-02 12:00:00",27.0,30.0,24.0,0
"2016-01-02 13:00:00",22.0,41.0,9.13,0
"2016-01-02 13:00:00",19.0,20.0,16.0,0
"2016-01-02 14:00:00",20.0,36.0,8.17,0
"2016-01-02 14:00:00",8.0,25.0,11.0,0
"2016-01-02 15:00:00",18.0,45.0,14.48,0
"2016-01-02 15:00:00",17.0,27.0,17.0,0
"2016-01-02 16:00:00",26.0,47.0,18.51,0
"2016-01-02 16:00:00",22.0,37.0,19.0,0
"2016-01-02 17:00:00",22.0,51.0,7.48,0
"2016-01-02 17:00:00",27.0,37.0,16.0,0
"2016-01-02 18:00:00",25.0,58.0,2.71,0
"2016-01-02 18:00:00",22.0,38.0,10.0,0
"2016-01-02 19:00:00",20.0,50.0,1.42,0
"2016-01-02 19:00:00",24.0,38.0,3.0,0
"2016-01-02 20:00:00",29.0,48.0,0.67,0
"2016-01-02 20:00:00",20.0,38.0,2.0,0
